MasterID,ID,Mag,Magerr,RA,Dec,FWHM,Var,FrameID,MJD,airmass,exposure,X,Y,Flux,Area,Flags,Theta,Elong,MuMax,Blend
1121081014342,5070612108111008333,14.347337,0.055346588821696,240.62018,20.26575,2.45,0,5070612108111,53557.246656192,1.09,30,578.861,768.489,65800,66,0,-24.4,1.037,6.21,0
1121081014342,5070612108121008336,14.322767,0.055254525014276,240.62018,20.26574,2.47,0,5070612108121,53557.2530479399,1.1,30,586.733,766.439,67187.5,65,0,-33.8,1.061,6.14,0
1121081014342,5070612108131008041,14.315034,0.0552190988866203,240.6202,20.26578,2.55,0,5070612108131,53557.2594760419,1.12,30,570.609,765.259,67734.703125,63,0,-22.3,1.074,6.14,0
1121081014342,5070612108141008286,14.290135,0.0551370768743817,240.62019,20.26577,2.55,0,5070612108141,53557.2660102779,1.14,30,575.249,764.095,69031.101562,69,0,-13.6,1.057,6.16,0
1121081014342,5062912108111005837,14.301906,0.0598220020768023,240.62009,20.26581,2.45,0,5062912108111,53550.219219699,1.02,30,548.45,768.005,30689.400391,44,0,-35.9,1.025,5.15,0
1121081014342,5063012108111007932,14.539657,0.0561528286649535,240.6202,20.26576,2.45,0,5063012108111,53551.268863102,1.1,30,556.837,759.826,55467.601562,58,0,-11.6,1.074,5.94,0
1121081014342,5063012108121008024,14.531233,0.0561304743058328,240.62019,20.26576,2.35,0,5063012108121,53551.2764115045,1.12,30,562.617,757.628,55716.199219,61,0,-9.8,1.062,5.94,0
1121081014342,5063012108131007809,14.557306,0.0562462010659001,240.62016,20.26575,2.62,0,5063012108131,53551.2839578358,1.14,30,547.695,756.151,54449.300781,53,0,-3.8,1.084,5.76,0
1121081014342,5063012108141007787,14.556666,0.0562762239706836,240.62017,20.26577,2.6,0,5063012108141,53551.2915247572,1.17,30,556.334,754.007,54128.601562,59,0,-12.1,1.077,5.67,0
1121081014342,5050712108111008015,14.268702,0.0547553414522925,240.62014,20.26578,2.39,0,5050712108111,53497.3289506482,1.02,30,544.642,684.538,75660,70,0,-57.7,1.075,6.45,0
1121081014342,5050712108121008102,14.28371,0.054806544807782,240.62014,20.26577,2.3,0,5050712108121,53497.3355200696,1.02,30,554.333,681.427,74709.296875,65,0,-53.2,1.092,6.6,0
1121081014342,5050712108131008014,14.286455,0.0548073121926789,240.62014,20.26578,2.19,0,5050712108131,53497.3420810415,1.02,30,536.149,679.365,74695.203125,73,0,-52.1,1.063,6.57,0
1121081014342,5050712108141007795,14.299326,0.054952214517008,240.62014,20.26578,2.39,0,5050712108141,53497.3486328702,1.02,30,542.906,661.568,72112.601562,74,0,-57.1,1.081,6.51,0
1121081014342,5051612108111007808,14.265408,0.0556549890432719,240.62016,20.26575,2.56,0,5051612108111,53506.3547333796,1.04,25,560.188,729.27,61488.601562,61,0,-22.3,1.083,6.02,0
1121081014342,5051612108121007893,14.279053,0.0557058543056623,240.62017,20.26575,2.49,0,5051612108121,53506.3624101506,1.04,25,565.656,727.166,60823.5,60,0,-16.6,1.062,5.97,0
1121081014342,5051612108131007746,14.295595,0.055783039383342,240.62015,20.26576,2.48,0,5051612108131,53506.3701041668,1.06,25,551.973,724.789,59837.300781,60,0,-13.6,1.079,6.07,0
1121081014342,5051612108141007988,14.310158,0.0558386548758284,240.62017,20.26577,2.48,0,5051612108141,53506.3778315164,1.07,25,559.46,722.79,59143.398438,62,0,-25,1.079,5.98,0
1121081014342,5092312108111007153,14.23036,0.0554252134674303,240.62018,20.26577,2.28,0,5092312108111,53636.1221727198,1.56,30,947.102,689.668,64653.101562,58,0,-40.3,1.05,6.18,0
1121081014342,5092312108121006901,14.227496,0.0554158915541868,240.62017,20.26579,2.33,0,5092312108121,53636.1270147455,1.61,30,960.243,680.273,64787.300781,55,0,-32.8,1.037,5.84,0
1121081014342,5092312108131007198,14.233373,0.0554524144306343,240.62017,20.2658,2.16,0,5092312108131,53636.1318707638,1.67,30,974.413,692.907,64264.199219,58,0,-53,1.059,6.21,0
1121081014342,5092312108141007019,14.223803,0.0554283466724863,240.62021,20.26575,2.31,0,5092312108141,53636.1367226271,1.73,30,973.061,691.882,64608.101562,55,0,-47.6,1.094,5.97,0
1121081014342,6041812108111007548,14.315809,0.0553742769386881,240.62018,20.26576,2.54,0,6041812108111,53843.4305825117,1.03,30,536.697,759.754,65392.199219,51,0,1.7,1.081,5.64,0
1121081014342,6041812108121007246,14.339039,0.055479448540082,240.62017,20.26575,2.59,0,6041812108121,53843.4389721644,1.04,30,538.34,739.911,63881.601562,52,0,-0.1,1.087,5.56,0
1121081014342,6041812108131007559,14.349607,0.0555360692053031,240.62017,20.26576,2.59,0,6041812108131,53843.4471576391,1.05,30,552.07,763.668,63092.699219,56,0,-0.6,1.095,5.58,0
1121081014342,6041812108141007315,14.367735,0.0555981314889993,240.62018,20.26575,2.63,0,6041812108141,53843.4553809608,1.07,30,529.636,760.879,62246.800781,54,0,-5.9,1.102,5.47,0
1121081014342,6042512108111007674,14.525986,0.0569050868049833,240.62019,20.26576,2.38,0,6042512108111,53850.3744406481,1.02,30,577.109,765.661,48082.398438,64,0,-58,1.08,5.92,0
1121081014342,6042512108121007759,14.52737,0.0562257505467541,240.62018,20.26576,2.42,0,6042512108121,53850.3827723148,1.02,30,576.692,744.935,54669.601562,65,0,-54.5,1.085,5.86,0
1121081014342,6042512108131007114,14.446948,0.0570952407304836,240.62018,20.26575,2.52,0,6042512108131,53850.3909529285,1.02,30,587.94,770.087,46476.5,63,0,-52.8,1.101,5.51,0
1121081014342,6042512108141008260,14.457516,0.056090923248595,240.62018,20.26576,2.34,0,6042512108141,53850.3990237038,1.02,30,564.683,766.125,56160.699219,63,0,-42.4,1.069,5.9,0
1121081014342,6070912108111003275,14.390742,0.0745103973111035,240.62014,20.26573,2.76,0,6070912108111,53925.3228742247,1.49,5,559.152,683.782,8996.400391,36,0,0,1.062,4.19,0
1121081014342,6070912108121003343,14.382653,0.0743248839873082,240.62013,20.26576,2.53,0,6070912108121,53925.3243276504,1.5,5,558.657,685.077,9090.900391,38,0,2.3,1.039,4.08,0
1121081014342,6070912108131003332,14.413156,0.074837058278105,240.62016,20.2658,2.63,0,6070912108131,53925.3258027201,1.52,5,562.749,692.298,8834,33,0,-33.6,1.024,4.21,0
1121081014342,6070912108141003396,14.402141,0.0746447453812316,240.62015,20.26577,2.63,0,6070912108141,53925.3272978239,1.53,5,552.09,698.172,8929,29,0,-7.6,1.044,4.26,0
1121081014342,6072412108111007855,14.216855,0.0555995642607675,240.62017,20.26575,2.48,0,6072412108111,53940.212990521,1.12,30,572.89,723.6,62227.5,57,0,5.8,1.117,6.16,0
1121081014342,6072412108121007586,14.249489,0.0558064128330337,240.62017,20.26577,2.61,0,6072412108121,53940.2194226738,1.14,30,572.495,711.961,59544,53,0,2,1.076,5.89,0
1121081014342,6072412108131006173,14.211597,0.0572645947686162,240.62018,20.26576,2.54,0,6072412108131,53940.2258509952,1.17,30,568.379,725.498,45121.398438,50,0,4.2,1.101,5.5,0
1121081014342,6072412108141007084,14.222818,0.0561757908261102,240.62017,20.26578,2.51,0,6072412108141,53940.2322984259,1.19,30,578.74,721.806,55214.199219,54,0,-8.3,1.082,5.84,0
1121081014342,6061412108111002493,14.265648,0.0731638175332668,240.62018,20.26577,2.97,0,6061412108111,53900.2694623609,1.03,5,546.621,587.342,9722.700195,41,0,-45.4,1.018,4.22,0
1121081014342,6061412108121002515,14.27733,0.0732975141919447,240.6202,20.26575,2.89,0,6061412108121,53900.2705300114,1.03,5,548.744,579.67,9646.200195,41,0,-3.3,1.046,4.27,0
1121081014342,6061412108131002586,14.264891,0.0730541897880157,240.62014,20.26581,3.12,0,6061412108131,53900.2716168751,1.03,5,554.544,593.02,9786.200195,42,0,-11.4,1.043,4.16,0
1121081014342,6061412108141002470,14.253726,0.0733935097981842,240.62023,20.26576,2.96,0,6061412108141,53900.2727031484,1.03,5,542.016,592.473,9591.900391,41,0,-59,1.013,4.19,0
1121081014342,6030312108111008944,14.331616,0.0553118160841434,240.62018,20.26576,2.91,0,6030312108111,53797.474000243,1.06,30,544.06,771.442,66318.296875,66,0,14.1,1.157,6.16,0
1121081014342,6030312108121008430,14.33335,0.0555058051275726,240.62016,20.26576,3.03,0,6030312108121,53797.4821331599,1.05,30,546.329,751.11,63512.300781,63,0,11.8,1.185,6.06,0
1121081014342,6030312108131008453,14.31383,0.0556895389302516,240.62016,20.2658,2.65,0,6030312108131,53797.490367257,1.04,30,557.758,774.517,61035.5,52,0,9.7,1.144,6.03,0
1121081014342,6030312108141008840,14.282707,0.0550094056347193,240.62016,20.26576,2.78,0,6030312108141,53797.4988137386,1.03,30,535.133,770.749,71134.703125,74,0,5.5,1.18,6.29,0
1121081014342,6032512108111008238,14.417657,0.0557403235500698,240.62015,20.26576,2.39,0,6032512108111,53819.4550262038,1.02,30,531.846,750.994,60379.699219,73,0,-31.2,1.026,5.94,0
1121081014342,6032512108121007520,14.459397,0.0564420722958605,240.62015,20.26575,2.36,0,6032512108121,53819.4642543173,1.02,30,534.991,731.119,52413.398438,65,0,-51.3,1.049,5.87,0
1121081014342,6032512108131008208,14.500873,0.0561064395689023,240.62019,20.26576,2.42,0,6032512108131,53819.4734235299,1.02,30,546.317,753.625,55985.601562,59,0,-48.9,1.092,6,0
1121081014342,6032512108141008214,14.526744,0.0561468684616566,240.62018,20.26575,2.36,0,6032512108141,53819.4826922687,1.02,30,522.474,749.489,55533.699219,64,0,-36.9,1.059,6.09,0
1121081014342,6050412108111008968,14.559903,0.0565249227038879,240.62017,20.26574,2.63,0,6050412108111,53859.3864490972,1.03,30,544.254,750.561,51590.800781,61,0,1.5,1.102,5.93,0
1121081014342,6050412108121008695,14.546279,0.0564878759283295,240.62016,20.26575,2.56,0,6050412108121,53859.3946096874,1.04,30,546.286,729.581,51955.898438,57,0,5.7,1.122,6.02,0
1121081014342,6050412108131009075,14.517971,0.0563450109902225,240.62018,20.26575,2.68,0,6050412108131,53859.4027669211,1.05,30,559.705,753.284,53405.800781,62,0,4.3,1.114,6,0
1121081014342,6050412108141009096,14.454783,0.0560638544618403,240.62017,20.26576,2.67,0,6050412108141,53859.4108695253,1.07,30,537.106,750.037,56468.398438,60,0,8,1.127,6.05,0
1121081014342,6051112108111004318,14.222184,0.0706563210742007,240.62015,20.26575,2.68,0,6051112108111,53866.3543185186,1.02,5,561.288,742.256,11373.700195,39,0,-28,1.106,4.55,0
1121081014342,6051112108121004167,14.215128,0.070531110145667,240.62015,20.26578,2.56,0,6051112108121,53866.3550913543,1.02,5,562.433,724.767,11468.5,40,0,-18,1.098,4.44,0
